,chunkfolder,folderlength,recognitiontime,,
0,result04Faiz Ahmed Faiz - Nisar Main Teri Galiyon Kay Ae Watan By ARaziq Piracha.flac,70.29986395,31.49006915,,
1,result06Zia Mohyeddin reading Faiz Ahmed Faizwmv.flac,127.2196599,60.26038313,,
2,result07Faiz Ahmed Faiz - Aaj Bazar Mein Paa-Ba-Jaulan Chalo By ARaziq Piracha.flac,1,0,,
3,result11Faiz Ahmad Faiz reads his own Poetry -(Remembering the legend).flac,336.2194558,156.5154879,,
4,result12FAiz Ahmad Faiz recites his own Poetry.flac,438.4191156,212.5740566,,
5,result13FAiz Ahmad Faiz recites his own Poetry.flac,438.4191156,223.3686774,,
6,result14Faiz Ahmed Faiz - Nisar Main Teri Galiyon Kay Ae Watan By ARaziq Piracha.flac,70.29986395,29.45664001,,
7,result15Faiz Ahmad Faiz reads his own Poetry -(Remembering the legend).flac,336.2194558,154.3334081,,
8,result16FAiz Ahmad Faiz recites his own Poetry.flac,438.4191156,202.3020115,,
9,result17Yeh Daagh Daagh Ujala by Faiz Ahmed Faiz.flac,108.5997959,50.16254902,,
10,result18Kuttay - Poem by Faiz Ahmed Faiz -.flac,106.1996599,52.25672102,,
11,result - 45 MINUTES 20 04 2019.flac,2849.176463,1482.641856,47.48627438,24.71069761
12,result45 MINT   01 02 2019.flac,2998.834082,2012.613668,49.98056803,33.54356113
13,result45 MINT   01 03 2019-N_F_-9Z12Ew.flac,2581.415782,1405.022391,43.02359637,23.41703986
14,result45 MINT   01 03 2019.flac,2581.415782,1411.844682,43.02359637,23.5307447
15,result45 MINT   02 02 2019-_TIt46xlM1Q.flac,3028.574422,2105.121463,50.47624036,35.08535772
16,result45 MINT   02 02 2019.flac,3028.574422,2074.945419,50.47624036,34.58242365
17,result45 Mint   04 01 2019.flac,2150.355782,1192.690741,35.83926304,19.87817901
18,result45 MINT   05 01 2019.flac,2764.674762,1548.996597,46.0779127,25.81660995
19,result45 MINT   09 02 2019-tNVpggoLCQ4.flac,3054.973265,2097.977821,50.91622109,34.96629701
20,result45 MINT   09 02 2019.flac,3054.973265,2114.118334,50.91622109,35.23530556
21,result45 MINT   11 01 2019.flac,2697.155238,1721.007356,44.9525873,28.68345593
,,2794.09468,1742.452757,46.56824467,29.04087928
