,chunk,length,recognitiontime
0, - 45 MINUTES 20 04 2019_Female_44100_CLEAN2.flac,156.5999319727891,81.71959161758423
1, - 45 MINUTES 20 04 2019_Female_44100_CLEAN6.flac,93.99993197278911,54.71031165122986
2, - 45 MINUTES 20 04 2019_Male_44100_CLEAN8.flac,72.53993197278912,44.65937638282776
3, - 45 MINUTES 20 04 2019_Male_44100_CLEAN10.flac,66.61993197278912,41.79359674453735
4, - 45 MINUTES 20 04 2019_Female_44100_CLEAN11.flac,147.2199319727891,84.781240940094
5, - 45 MINUTES 20 04 2019_Male_44100_CLEAN12.flac,61.85993197278911,45.83158206939697
6, - 45 MINUTES 20 04 2019_Male_44100_CLEAN14.flac,41.85993197278911,21.201284646987915
7, - 45 MINUTES 20 04 2019_Female_44100_CLEAN17.flac,32.459931972789114,19.243534803390503
8, - 45 MINUTES 20 04 2019_Male_44100_CLEAN18.flac,42.01993197278912,23.15619444847107
9, - 45 MINUTES 20 04 2019_Male_44100_CLEAN20.flac,24.619931972789114,16.60607075691223
10, - 45 MINUTES 20 04 2019_Male_44100_CLEAN24.flac,67.47993197278912,46.773346185684204
11, - 45 MINUTES 20 04 2019_Male_44100_CLEAN26.flac,71.59993197278912,52.770933389663696
12, - 45 MINUTES 20 04 2019_Male_44100_CLEAN30.flac,44.83993197278912,39.81238508224487
13, - 45 MINUTES 20 04 2019_Male_44100_CLEAN32.flac,154.7599319727891,0.0
14, - 45 MINUTES 20 04 2019_Female_44100_CLEAN33.flac,26.159931972789117,27.12295889854431
15, - 45 MINUTES 20 04 2019_Male_44100_CLEAN34.flac,25.599931972789115,22.93879222869873
16, - 45 MINUTES 20 04 2019_Male_44100_CLEAN38.flac,43.83993197278912,49.4431049823761
17, - 45 MINUTES 20 04 2019_Male_44100_CLEAN40.flac,23.659931972789117,12.537192583084106
18, - 45 MINUTES 20 04 2019_Male_44100_CLEAN44.flac,35.43993197278912,19.926514387130737
19, - 45 MINUTES 20 04 2019_Male_44100_CLEAN46.flac,24.579931972789115,14.653525114059448
20, - 45 MINUTES 20 04 2019_Male_44100_CLEAN48.flac,27.379931972789116,18.318500995635986
21, - 45 MINUTES 20 04 2019_Male_44100_CLEAN50.flac,30.159931972789117,19.08171796798706
22, - 45 MINUTES 20 04 2019_Male_44100_CLEAN52.flac,33.75993197278912,19.923089027404785
23, - 45 MINUTES 20 04 2019_Male_44100_CLEAN55.flac,20.119931972789114,16.084251403808594
24, - 45 MINUTES 20 04 2019_Male_44100_CLEAN60.flac,24.979931972789117,12.751975059509277
25, - 45 MINUTES 20 04 2019_Female_44100_CLEAN61.flac,42.03993197278911,22.43270230293274
26, - 45 MINUTES 20 04 2019_Male_44100_CLEAN62.flac,68.51993197278911,50.2263662815094
27, - 45 MINUTES 20 04 2019_Male_44100_CLEAN66.flac,54.459931972789114,49.83511710166931
28, - 45 MINUTES 20 04 2019_Male_44100_CLEAN69.flac,20.219931972789116,7.5399699211120605
29, - 45 MINUTES 20 04 2019_Male_44100_CLEAN81.flac,20.719931972789116,12.217304468154907
30, - 45 MINUTES 20 04 2019_Male_44100_CLEAN95.flac,20.539931972789116,10.119768619537354
31, - 45 MINUTES 20 04 2019_Male_44100_CLEAN109.flac,21.439931972789115,9.838808298110962
32, - 45 MINUTES 20 04 2019_Female_44100_CLEAN112.flac,69.19993197278912,38.67912697792053
33, - 45 MINUTES 20 04 2019_Male_44100_CLEAN115.flac,24.639931972789114,11.323694229125977
34, - 45 MINUTES 20 04 2019_Female_44100_CLEAN116.flac,49.379931972789116,34.652048110961914
35, - 45 MINUTES 20 04 2019_Male_44100_CLEAN121.flac,20.499931972789117,14.271310567855835
36, - 45 MINUTES 20 04 2019_Female_44100_CLEAN123.flac,65.15993197278911,50.391403675079346
37, - 45 MINUTES 20 04 2019_Female_44100_CLEAN125.flac,23.179931972789117,21.632277965545654
38, - 45 MINUTES 20 04 2019_Female_44100_CLEAN127.flac,42.43993197278912,37.04934048652649
39, - 45 MINUTES 20 04 2019_Male_44100_CLEAN128.flac,252.8199319727891,0.0
40, - 45 MINUTES 20 04 2019_Female_44100_CLEAN129.flac,51.819931972789114,47.19032311439514
41, - 45 MINUTES 20 04 2019_Female_44100_CLEAN131.flac,23.219931972789116,10.769903421401978
42, - 45 MINUTES 20 04 2019_Female_44100_CLEAN133.flac,134.9799319727891,0.0
43, - 45 MINUTES 20 04 2019_Male_44100_CLEAN136.flac,61.83993197278912,49.369179487228394
44, - 45 MINUTES 20 04 2019_Male_44100_CLEAN140.flac,113.35993197278911,0.0
45, - 45 MINUTES 20 04 2019_Female_44100_CLEAN143.flac,21.179931972789117,14.203515529632568
46, - 45 MINUTES 20 04 2019_Male_44100_CLEAN146.flac,22.859931972789116,15.552563905715942
47, - 45 MINUTES 20 04 2019_Female_44100_CLEAN149.flac,27.339931972789117,17.751503467559814
48, - 45 MINUTES 20 04 2019_Male_44100_CLEAN150.flac,66.61993197278912,56.118489503860474
49, - 45 MINUTES 20 04 2019_Male_44100_CLEAN152.flac,38.71993197278911,30.98674488067627
50, - 45 MINUTES 20 04 2019_Female_44100_CLEAN155.flac,95.11993197278912,64.6493227481842
51, - 45 MINUTES 20 04 2019_Male_44100_CLEAN157.flac,2.699931972789116,0.0
