,chunk,length,recognitiontime
0,13FAiz Ahmad Faiz recites his own Poetry_Male_44100_CLEAN5.flac,20.899931972789116,10.725611448287964
1,13FAiz Ahmad Faiz recites his own Poetry_Male_44100_CLEAN14.flac,45.79993197278912,27.820070266723633
2,13FAiz Ahmad Faiz recites his own Poetry_Male_44100_CLEAN22.flac,64.31993197278912,37.975056171417236
3,13FAiz Ahmad Faiz recites his own Poetry_Male_44100_CLEAN24.flac,35.419931972789115,14.807380437850952
4,13FAiz Ahmad Faiz recites his own Poetry_Male_44100_CLEAN30.flac,38.43993197278912,18.955897569656372
5,13FAiz Ahmad Faiz recites his own Poetry_Male_44100_CLEAN39.flac,20.139931972789114,8.577532052993774
6,13FAiz Ahmad Faiz recites his own Poetry_Male_44100_CLEAN44.flac,27.059931972789116,15.899500370025635
7,13FAiz Ahmad Faiz recites his own Poetry_Male_44100_CLEAN50.flac,58.57993197278912,28.95061731338501
8,13FAiz Ahmad Faiz recites his own Poetry_Male_44100_CLEAN52.flac,26.919931972789115,17.321568250656128
9,13FAiz Ahmad Faiz recites his own Poetry_Male_44100_CLEAN54.flac,21.339931972789117,8.492767572402954
10,13FAiz Ahmad Faiz recites his own Poetry_Male_44100_CLEAN58.flac,44.779931972789115,19.994704246520996
11,13FAiz Ahmad Faiz recites his own Poetry_Male_44100_CLEAN62.flac,23.719931972789116,13.847971677780151
12,13FAiz Ahmad Faiz recites his own Poetry_Male_44100_CLEAN63.flac,10.999931972789115,0.0
