,chunk,length,recognitiontime
0,45 MINT   01 02 2019_Female_44100_CLEAN2.flac,156.7199319727891,0.0
1,45 MINT   01 02 2019_Male_44100_CLEAN8.flac,21.319931972789117,11.826798677444458
2,45 MINT   01 02 2019_Male_44100_CLEAN12.flac,26.879931972789116,21.241593837738037
3,45 MINT   01 02 2019_Male_44100_CLEAN18.flac,26.899931972789116,13.493667840957642
4,45 MINT   01 02 2019_Male_44100_CLEAN24.flac,24.399931972789116,16.270017385482788
5,45 MINT   01 02 2019_Male_44100_CLEAN28.flac,49.79993197278912,30.344613075256348
6,45 MINT   01 02 2019_Male_44100_CLEAN32.flac,21.239931972789115,12.876346826553345
7,45 MINT   01 02 2019_Male_44100_CLEAN36.flac,21.659931972789117,11.152541637420654
8,45 MINT   01 02 2019_Male_44100_CLEAN42.flac,22.799931972789114,16.71892547607422
9,45 MINT   01 02 2019_Male_44100_CLEAN44.flac,41.39993197278912,29.594602823257446
10,45 MINT   01 02 2019_Male_44100_CLEAN50.flac,22.079931972789115,18.253400087356567
11,45 MINT   01 02 2019_Male_44100_CLEAN52.flac,33.959931972789114,20.604362726211548
12,45 MINT   01 02 2019_Male_44100_CLEAN54.flac,27.979931972789117,21.563534021377563
13,45 MINT   01 02 2019_Male_44100_CLEAN56.flac,28.279931972789115,18.905643463134766
14,45 MINT   01 02 2019_Female_44100_CLEAN61.flac,36.57993197278912,38.58521056175232
15,45 MINT   01 02 2019_Female_44100_CLEAN67.flac,29.379931972789116,29.037997245788574
16,45 MINT   01 02 2019_Female_44100_CLEAN69.flac,31.459931972789114,34.90518760681152
17,45 MINT   01 02 2019_Female_44100_CLEAN71.flac,22.079931972789115,17.730692625045776
18,45 MINT   01 02 2019_Male_44100_CLEAN72.flac,34.85993197278911,38.70579147338867
19,45 MINT   01 02 2019_Male_44100_CLEAN76.flac,25.519931972789117,20.58977460861206
20,45 MINT   01 02 2019_Male_44100_CLEAN86.flac,29.319931972789117,25.821479320526123
21,45 MINT   01 02 2019_Male_44100_CLEAN91.flac,20.539931972789116,18.13789129257202
22,45 MINT   01 02 2019_Male_44100_CLEAN99.flac,20.679931972789117,19.10608959197998
23,45 MINT   01 02 2019_Male_44100_CLEAN105.flac,47.379931972789116,52.26760220527649
24,45 MINT   01 02 2019_Male_44100_CLEAN111.flac,29.759931972789115,36.56695890426636
25,45 MINT   01 02 2019_Female_44100_CLEAN113.flac,74.93993197278911,67.16766881942749
26,45 MINT   01 02 2019_Female_44100_CLEAN115.flac,21.499931972789117,17.830085515975952
27,45 MINT   01 02 2019_Male_44100_CLEAN120.flac,35.739931972789115,26.198192358016968
28,45 MINT   01 02 2019_Male_44100_CLEAN125.flac,30.919931972789115,15.551870346069336
29,45 MINT   01 02 2019_Male_44100_CLEAN127.flac,29.019931972789117,14.012901544570923
30,45 MINT   01 02 2019_Male_44100_CLEAN129.flac,21.219931972789116,0.0
31,45 MINT   01 02 2019_Female_44100_CLEAN136.flac,21.519931972789117,7.605465888977051
32,45 MINT   01 02 2019_Male_44100_CLEAN142.flac,22.319931972789117,0.0
33,45 MINT   01 02 2019_Female_44100_CLEAN149.flac,21.539931972789116,13.267004251480103
34,45 MINT   01 02 2019_Male_44100_CLEAN156.flac,22.159931972789117,11.064463376998901
35,45 MINT   01 02 2019_Male_44100_CLEAN162.flac,20.739931972789115,11.111698627471924
