,chunk,length,recognitiontime
0,45 MINT   01 03 2019-N_F_-9Z12Ew_Female_44100_CLEAN2.flac,129.2199319727891,0.0
1,45 MINT   01 03 2019-N_F_-9Z12Ew_Female_44100_CLEAN4.flac,84.77993197278911,54.84822678565979
2,45 MINT   01 03 2019-N_F_-9Z12Ew_Female_44100_CLEAN6.flac,72.89993197278912,39.57758450508118
3,45 MINT   01 03 2019-N_F_-9Z12Ew_Female_44100_CLEAN8.flac,32.65993197278912,27.435121536254883
4,45 MINT   01 03 2019-N_F_-9Z12Ew_Female_44100_CLEAN10.flac,40.699931972789116,27.63409996032715
5,45 MINT   01 03 2019-N_F_-9Z12Ew_Male_44100_CLEAN11.flac,86.45993197278912,0.0
6,45 MINT   01 03 2019-N_F_-9Z12Ew_Female_44100_CLEAN14.flac,21.359931972789116,12.270425081253052
7,45 MINT   01 03 2019-N_F_-9Z12Ew_Male_44100_CLEAN15.flac,126.95993197278912,0.0
8,45 MINT   01 03 2019-N_F_-9Z12Ew_Female_44100_CLEAN18.flac,46.39993197278912,42.758915185928345
9,45 MINT   01 03 2019-N_F_-9Z12Ew_Male_44100_CLEAN25.flac,23.379931972789116,11.016515493392944
10,45 MINT   01 03 2019-N_F_-9Z12Ew_Male_44100_CLEAN35.flac,23.999931972789117,12.12801194190979
11,45 MINT   01 03 2019-N_F_-9Z12Ew_Male_44100_CLEAN43.flac,34.419931972789115,24.77698850631714
12,45 MINT   01 03 2019-N_F_-9Z12Ew_Male_44100_CLEAN47.flac,26.639931972789114,12.141665697097778
13,45 MINT   01 03 2019-N_F_-9Z12Ew_Male_44100_CLEAN49.flac,45.559931972789116,34.71798014640808
14,45 MINT   01 03 2019-N_F_-9Z12Ew_Male_44100_CLEAN51.flac,105.29993197278911,0.0
15,45 MINT   01 03 2019-N_F_-9Z12Ew_Female_44100_CLEAN54.flac,28.999931972789117,19.37770104408264
16,45 MINT   01 03 2019-N_F_-9Z12Ew_Male_44100_CLEAN55.flac,23.759931972789115,16.92150616645813
17,45 MINT   01 03 2019-N_F_-9Z12Ew_Male_44100_CLEAN63.flac,31.499931972789117,16.563671350479126
18,45 MINT   01 03 2019-N_F_-9Z12Ew_Male_44100_CLEAN65.flac,20.379931972789116,12.168208599090576
19,45 MINT   01 03 2019-N_F_-9Z12Ew_Male_44100_CLEAN73.flac,23.679931972789117,15.99280309677124
20,45 MINT   01 03 2019-N_F_-9Z12Ew_Male_44100_CLEAN83.flac,33.07993197278912,18.07009506225586
21,45 MINT   01 03 2019-N_F_-9Z12Ew_Male_44100_CLEAN85.flac,42.89993197278912,33.863961696624756
22,45 MINT   01 03 2019-N_F_-9Z12Ew_Male_44100_CLEAN87.flac,28.819931972789117,24.140043020248413
23,45 MINT   01 03 2019-N_F_-9Z12Ew_Female_44100_CLEAN88.flac,45.01993197278912,45.23597860336304
24,45 MINT   01 03 2019-N_F_-9Z12Ew_Male_44100_CLEAN95.flac,27.699931972789116,24.483032703399658
25,45 MINT   01 03 2019-N_F_-9Z12Ew_Male_44100_CLEAN101.flac,29.119931972789114,14.636681318283081
26,45 MINT   01 03 2019-N_F_-9Z12Ew_Male_44100_CLEAN111.flac,23.559931972789116,16.33890986442566
27,45 MINT   01 03 2019-N_F_-9Z12Ew_Male_44100_CLEAN123.flac,24.959931972789114,16.059197664260864
28,45 MINT   01 03 2019-N_F_-9Z12Ew_Female_44100_CLEAN131.flac,20.479931972789117,10.788062810897827
29,45 MINT   01 03 2019-N_F_-9Z12Ew_Male_44100_CLEAN134.flac,23.399931972789116,12.403942346572876
30,45 MINT   01 03 2019-N_F_-9Z12Ew_Female_44100_CLEAN141.flac,23.579931972789115,13.95091199874878
31,45 MINT   01 03 2019-N_F_-9Z12Ew_Female_44100_CLEAN145.flac,22.119931972789114,15.975046396255493
32,45 MINT   01 03 2019-N_F_-9Z12Ew_Male_44100_CLEAN147.flac,38.15993197278912,16.506604194641113
33,45 MINT   01 03 2019-N_F_-9Z12Ew_Male_44100_CLEAN149.flac,32.959931972789114,32.71609401702881
34,45 MINT   01 03 2019-N_F_-9Z12Ew_Male_44100_CLEAN153.flac,33.39993197278912,18.589192628860474
35,45 MINT   01 03 2019-N_F_-9Z12Ew_Male_44100_CLEAN157.flac,76.21993197278911,63.548274755477905
36,45 MINT   01 03 2019-N_F_-9Z12Ew_Male_44100_CLEAN159.flac,172.2599319727891,0.0
