,chunk,length,recognitiontime
0,45 MINT   02 02 2019-_TIt46xlM1Q_Female_44100_CLEAN2.flac,33.57993197278912,18.945406675338745
1,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN7.flac,29.259931972789115,24.347497940063477
2,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN12.flac,33.879931972789116,34.11538791656494
3,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN18.flac,23.199931972789116,14.355421781539917
4,45 MINT   02 02 2019-_TIt46xlM1Q_Female_44100_CLEAN21.flac,67.91993197278912,54.07420778274536
5,45 MINT   02 02 2019-_TIt46xlM1Q_Female_44100_CLEAN23.flac,54.43993197278912,42.84224843978882
6,45 MINT   02 02 2019-_TIt46xlM1Q_Female_44100_CLEAN29.flac,33.699931972789116,23.298972845077515
7,45 MINT   02 02 2019-_TIt46xlM1Q_Female_44100_CLEAN31.flac,23.519931972789117,12.246310710906982
8,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN37.flac,34.07993197278912,26.440119743347168
9,45 MINT   02 02 2019-_TIt46xlM1Q_Female_44100_CLEAN38.flac,92.19993197278912,0.0
10,45 MINT   02 02 2019-_TIt46xlM1Q_Female_44100_CLEAN40.flac,62.099931972789115,62.82727408409119
11,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN41.flac,22.039931972789116,14.833664655685425
12,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN43.flac,41.199931972789116,19.461974143981934
13,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN47.flac,61.71993197278911,47.87424945831299
14,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN51.flac,37.47993197278912,29.01117777824402
15,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN53.flac,25.899931972789116,15.468674182891846
16,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN60.flac,20.479931972789117,10.246640920639038
17,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN63.flac,44.699931972789116,25.27682900428772
18,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN69.flac,28.739931972789115,20.357292890548706
19,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN71.flac,43.099931972789115,33.68943810462952
20,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN76.flac,38.47993197278912,25.43244743347168
21,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN82.flac,32.459931972789114,21.766358137130737
22,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN88.flac,20.419931972789115,13.386769771575928
23,45 MINT   02 02 2019-_TIt46xlM1Q_Female_44100_CLEAN93.flac,73.25993197278912,63.25106930732727
24,45 MINT   02 02 2019-_TIt46xlM1Q_Female_44100_CLEAN95.flac,21.239931972789115,16.13573670387268
25,45 MINT   02 02 2019-_TIt46xlM1Q_Female_44100_CLEAN97.flac,52.71993197278911,47.344318866729736
26,45 MINT   02 02 2019-_TIt46xlM1Q_Female_44100_CLEAN99.flac,25.919931972789115,13.912963151931763
27,45 MINT   02 02 2019-_TIt46xlM1Q_Female_44100_CLEAN101.flac,24.259931972789115,23.473331212997437
28,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN102.flac,49.319931972789114,53.34274649620056
29,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN104.flac,30.479931972789117,31.34363293647766
30,45 MINT   02 02 2019-_TIt46xlM1Q_Female_44100_CLEAN107.flac,38.599931972789115,35.18609118461609
31,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN121.flac,23.259931972789115,19.869494199752808
32,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN127.flac,55.99993197278911,54.433969259262085
33,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN129.flac,49.85993197278911,54.078810691833496
34,45 MINT   02 02 2019-_TIt46xlM1Q_Female_44100_CLEAN136.flac,87.97993197278912,0.0
35,45 MINT   02 02 2019-_TIt46xlM1Q_Female_44100_CLEAN138.flac,23.899931972789116,0.0
36,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN144.flac,20.239931972789115,9.438109874725342
37,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN150.flac,22.999931972789117,9.303216934204102
38,45 MINT   02 02 2019-_TIt46xlM1Q_Female_44100_CLEAN157.flac,23.779931972789115,16.79281210899353
39,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN163.flac,20.139931972789114,0.0
40,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN168.flac,21.919931972789115,12.76745343208313
41,45 MINT   02 02 2019-_TIt46xlM1Q_Female_44100_CLEAN171.flac,33.79993197278912,18.88688325881958
42,45 MINT   02 02 2019-_TIt46xlM1Q_Female_44100_CLEAN179.flac,34.239931972789115,34.716190814971924
43,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN184.flac,30.939931972789115,22.944369316101074
44,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN186.flac,45.599931972789115,42.762815713882446
45,45 MINT   02 02 2019-_TIt46xlM1Q_Female_44100_CLEAN189.flac,34.639931972789114,21.59984827041626
46,45 MINT   02 02 2019-_TIt46xlM1Q_Female_44100_CLEAN193.flac,27.459931972789114,20.695526599884033
47,45 MINT   02 02 2019-_TIt46xlM1Q_Female_44100_CLEAN199.flac,31.119931972789114,23.76888394355774
48,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN203.flac,20.619931972789114,16.20527172088623
49,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN204.flac,29.699931972789116,19.630758047103882
50,45 MINT   02 02 2019-_TIt46xlM1Q_Female_44100_CLEAN205.flac,25.599931972789115,19.374643087387085
51,45 MINT   02 02 2019-_TIt46xlM1Q_Female_44100_CLEAN209.flac,23.539931972789116,13.694210290908813
52,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN210.flac,30.039931972789116,16.445403337478638
53,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN212.flac,49.39993197278912,36.62737512588501
54,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN214.flac,27.439931972789115,17.41803479194641
55,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN218.flac,53.67993197278911,29.056174755096436
56,45 MINT   02 02 2019-_TIt46xlM1Q_Male_44100_CLEAN220.flac,22.379931972789116,13.694586992263794
