,chunk,length,recognitiontime
0,45 Mint   04 01 2019_Female_44100_CLEAN1.flac,28.119931972789114,15.05141830444336
1,45 Mint   04 01 2019_Male_44100_CLEAN2.flac,39.89993197278912,21.533385276794434
2,45 Mint   04 01 2019_Female_44100_CLEAN3.flac,41.57993197278912,18.34867763519287
3,45 Mint   04 01 2019_Male_44100_CLEAN4.flac,53.53993197278911,39.48147511482239
4,45 Mint   04 01 2019_Male_44100_CLEAN6.flac,37.85993197278911,18.504723072052002
5,45 Mint   04 01 2019_Female_44100_CLEAN7.flac,24.999931972789117,11.137702941894531
6,45 Mint   04 01 2019_Male_44100_CLEAN11.flac,63.97993197278912,38.31767249107361
7,45 Mint   04 01 2019_Male_44100_CLEAN13.flac,56.599931972789115,29.915642261505127
8,45 Mint   04 01 2019_Male_44100_CLEAN14.flac,76.43993197278911,54.2071099281311
9,45 Mint   04 01 2019_Female_44100_CLEAN15.flac,25.899931972789116,15.489866256713867
10,45 Mint   04 01 2019_Male_44100_CLEAN18.flac,68.65993197278911,44.25063228607178
11,45 Mint   04 01 2019_Male_44100_CLEAN22.flac,47.379931972789116,33.140547037124634
12,45 Mint   04 01 2019_Female_44100_CLEAN23.flac,91.63993197278911,56.06780982017517
13,45 Mint   04 01 2019_Female_44100_CLEAN25.flac,22.579931972789115,11.7064847946167
14,45 Mint   04 01 2019_Female_44100_CLEAN27.flac,109.03993197278912,71.51843333244324
15,45 Mint   04 01 2019_Male_44100_CLEAN29.flac,42.71993197278911,25.47664189338684
16,45 Mint   04 01 2019_Male_44100_CLEAN33.flac,20.819931972789117,12.522186756134033
17,45 Mint   04 01 2019_Male_44100_CLEAN35.flac,24.859931972789116,9.574857950210571
18,45 Mint   04 01 2019_Male_44100_CLEAN37.flac,25.979931972789117,11.526775121688843
19,45 Mint   04 01 2019_Male_44100_CLEAN40.flac,22.179931972789117,10.64816665649414
20,45 Mint   04 01 2019_Female_44100_CLEAN43.flac,37.29993197278912,16.776000499725342
21,45 Mint   04 01 2019_Male_44100_CLEAN44.flac,43.879931972789116,29.388906955718994
22,45 Mint   04 01 2019_Male_44100_CLEAN48.flac,67.35993197278911,44.174107789993286
23,45 Mint   04 01 2019_Male_44100_CLEAN52.flac,24.819931972789117,19.66519856452942
24,45 Mint   04 01 2019_Male_44100_CLEAN55.flac,22.739931972789115,10.717438220977783
25,45 Mint   04 01 2019_Female_44100_CLEAN62.flac,25.639931972789114,16.75718116760254
26,45 Mint   04 01 2019_Male_44100_CLEAN63.flac,36.779931972789115,23.79040026664734
27,45 Mint   04 01 2019_Male_44100_CLEAN67.flac,23.519931972789117,11.17441987991333
28,45 Mint   04 01 2019_Male_44100_CLEAN69.flac,29.799931972789114,16.946584463119507
29,45 Mint   04 01 2019_Male_44100_CLEAN73.flac,31.499931972789117,19.30931568145752
30,45 Mint   04 01 2019_Male_44100_CLEAN75.flac,21.539931972789116,10.600954532623291
31,45 Mint   04 01 2019_Male_44100_CLEAN79.flac,30.219931972789116,15.279377222061157
32,45 Mint   04 01 2019_Male_44100_CLEAN83.flac,27.159931972789117,15.32404375076294
33,45 Mint   04 01 2019_Female_44100_CLEAN86.flac,22.739931972789115,14.927366256713867
34,45 Mint   04 01 2019_Male_44100_CLEAN89.flac,26.219931972789116,12.88167667388916
35,45 Mint   04 01 2019_Male_44100_CLEAN91.flac,47.599931972789115,25.00558376312256
36,45 Mint   04 01 2019_Female_44100_CLEAN96.flac,22.979931972789117,8.297336339950562
37,45 Mint   04 01 2019_Male_44100_CLEAN99.flac,23.699931972789116,13.76262092590332
38,45 Mint   04 01 2019_Male_44100_CLEAN101.flac,39.83993197278912,19.93728470802307
39,45 Mint   04 01 2019_Female_44100_CLEAN104.flac,40.03993197278911,17.170103549957275
40,45 Mint   04 01 2019_Male_44100_CLEAN107.flac,31.359931972789116,13.390056848526001
41,45 Mint   04 01 2019_Male_44100_CLEAN109.flac,20.299931972789114,9.773256301879883
42,45 Mint   04 01 2019_Female_44100_CLEAN112.flac,21.819931972789117,10.96742844581604
43,45 Mint   04 01 2019_Female_44100_CLEAN114.flac,36.599931972789115,14.777293920516968
44,45 Mint   04 01 2019_Male_44100_CLEAN117.flac,23.979931972789117,13.903646469116211
45,45 Mint   04 01 2019_Female_44100_CLEAN118.flac,21.299931972789114,12.957165002822876
46,45 Mint   04 01 2019_Male_44100_CLEAN123.flac,31.159931972789117,18.880425691604614
47,45 Mint   04 01 2019_Female_44100_CLEAN124.flac,34.279931972789115,13.138367891311646
48,45 Mint   04 01 2019_Female_44100_CLEAN126.flac,47.03993197278911,23.950170040130615
49,45 Mint   04 01 2019_Male_44100_CLEAN129.flac,20.319931972789117,12.095737218856812
50,45 Mint   04 01 2019_Male_44100_CLEAN131.flac,24.879931972789116,10.507534742355347
51,45 Mint   04 01 2019_Female_44100_CLEAN134.flac,24.219931972789116,13.100560188293457
52,45 Mint   04 01 2019_Male_44100_CLEAN135.flac,23.139931972789114,12.366820096969604
53,45 Mint   04 01 2019_Male_44100_CLEAN137.flac,30.839931972789117,12.452944993972778
54,45 Mint   04 01 2019_Male_44100_CLEAN140.flac,35.239931972789115,16.40248727798462
55,45 Mint   04 01 2019_Female_44100_CLEAN143.flac,25.379931972789116,13.030063152313232
56,45 Mint   04 01 2019_Male_44100_CLEAN146.flac,23.839931972789117,10.609422206878662
57,45 Mint   04 01 2019_Male_44100_CLEAN148.flac,22.179931972789117,10.784207344055176
58,45 Mint   04 01 2019_Female_44100_CLEAN151.flac,22.939931972789115,11.16410779953003
59,45 Mint   04 01 2019_Female_44100_CLEAN153.flac,27.319931972789117,12.212131023406982
60,45 Mint   04 01 2019_Female_44100_CLEAN155.flac,21.839931972789117,9.477793216705322
61,45 Mint   04 01 2019_Male_44100_CLEAN158.flac,10.219931972789116,6.4430108070373535
